,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,SR_Pass,default,1,DATA,1.0,nominal,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_data_obs_run2.root,mjj_my_data_obs_run2_SR_Pass_nom,data_obs_run2,Data,,,,,,
673,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,lumi,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_nom,MX3500_MY90_2016APV,XtoHY,,1.019,,lnN,,
674,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pdf,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_pdf_up,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Up,pdf
675,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pdf,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_pdf_down,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Down,pdf
676,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,prefire,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_prefire_up,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Up,prefire
677,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,prefire,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_prefire_down,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Down,prefire
678,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pileup,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_pileup_up,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Up,pileup
679,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pileup,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_pileup_down,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Down,pileup
680,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,PS_ISR,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_PS_ISR_up,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Up,PS_ISR
681,MX3500_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,PS_ISR,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3500_MY90_2016APV.root,mjj_my_MX3500_MY90_2016APV_SR_Pass_PS_ISR_down,MX3500_MY90_2016APV,XtoHY,,,1.0,shapes,Down,PS_ISR
